iter	Passed	Remaining
572	14151	10545
573	14171	10517
574	14192	10490
575	14218	10466
576	14246	10444
577	14277	10423
578	14299	10397
579	14320	10370
580	14346	10345
581	14368	10319
582	14392	10294
583	14413	10266
584	14434	10239
585	14466	10220
586	14494	10197
587	14515	10170
588	14535	10143
589	14559	10117
590	14579	10089
591	14600	10062
592	14620	10034
593	14641	10007
594	14662	9980
595	14700	9965
596	14726	9941
597	14747	9913
598	14768	9886
599	14788	9858
600	14808	9831
601	14833	9807
602	14854	9779
603	14893	9764
604	14919	9740
605	14940	9713
606	14960	9686
607	14982	9659
608	15003	9632
609	15024	9605
610	15046	9579
611	15067	9552
612	15088	9525
613	15125	9508
614	15152	9485
615	15173	9458
616	15196	9433
617	15218	9406
618	15239	9380
619	15261	9353
620	15281	9326
621	15303	9299
622	15323	9272
623	15365	9258
624	15388	9233
625	15410	9206
626	15431	9180
627	15452	9153
628	15473	9126
629	15496	9101
630	15517	9074
631	15554	9056
632	15580	9033
633	15601	9006
634	15624	8980
635	15644	8953
636	15667	8928
637	15692	8904
638	15716	8879
639	15745	8856
640	15778	8837
641	15807	8814
642	15827	8787
643	15848	8760
644	15871	8735
645	15893	8709
646	15914	8683
647	15938	8657
648	15959	8631
649	15980	8604
650	16022	8589
651	16046	8564
652	16071	8540
653	16094	8514
654	16117	8489
655	16137	8462
656	16158	8435
657	16179	8409
658	16219	8392
659	16242	8367
660	16265	8341
661	16286	8315
662	16307	8288
663	16337	8267
664	16358	8240
665	16390	8219
666	16428	8201
667	16448	8175
668	16470	8148
669	16492	8123
670	16514	8097
671	16536	8071
672	16557	8045
673	16685	8070
674	16720	8050
675	16811	8057
676	16947	8085
677	17003	8075
678	17086	8077
679	17122	8057
680	17145	8031
681	17223	8030
682	17271	8015
683	17317	8000
684	17368	7986
685	17414	7971
686	17508	7976
687	17544	7956
688	17573	7932
689	17601	7907
690	17625	7881
691	17648	7855
692	17674	7829
693	17695	7802
694	17724	7778
695	17754	7754
696	17777	7728
697	17798	7700
698	17820	7673
699	17841	7646
700	17863	7619
701	17887	7593
702	17907	7565
703	17943	7544
704	17975	7521
705	18000	7495
706	18020	7468
707	18042	7441
708	18067	7415
709	18089	7388
710	18110	7361
711	18133	7334
712	18166	7312
713	18192	7287
714	18216	7261
715	18236	7233
716	18266	7209
717	18291	7184
718	18314	7157
719	18334	7130
720	18355	7102
721	18391	7081
722	18418	7056
723	18448	7032
724	18470	7005
725	18494	6980
726	18516	6953
727	18537	6926
728	18562	6900
729	18585	6874
730	18628	6855
731	18653	6829
732	18677	6803
733	18698	6776
734	18719	6749
735	18741	6722
736	18763	6695
737	18784	6668
738	18806	6641
739	18827	6615
740	18866	6594
741	18894	6569
742	18915	6542
743	18938	6516
744	18959	6489
745	18981	6462
746	19005	6436
747	19026	6410
748	19077	6393
749	19111	6370
750	19139	6345
751	19170	6322
752	19190	6294
753	19218	6270
754	19255	6248
755	19281	6223
756	19302	6196
757	19326	6170
758	19350	6144
759	19371	6117
760	19391	6090
761	19422	6066
762	19444	6039
763	19480	6017
764	19508	5992
765	19531	5966
766	19553	5940
767	19575	5913
768	19596	5886
769	19617	5859
770	19640	5833
771	19664	5807
772	19693	5783
773	19727	5760
774	19749	5733
775	19771	5707
776	19794	5681
777	19814	5654
778	19844	5629
779	19866	5603
780	19888	5576
781	19924	5554
782	19953	5529
783	19975	5503
784	19996	5476
785	20017	5450
786	20040	5423
787	20060	5396
788	20081	5370
789	20104	5344
790	20125	5317
791	20168	5296
792	20191	5270
793	20211	5243
794	20234	5217
795	20256	5191
796	20289	5167
797	20311	5141
798	20341	5117
799	20376	5094
800	20400	5068
801	20423	5042
802	20444	5015
803	20471	4990
804	20492	4963
805	20513	4937
806	20535	4911
807	20582	4890
808	20609	4865
809	20630	4839
810	20655	4813
811	20676	4787
812	20714	4764
813	20752	4741
814	20775	4715
815	20811	4692
816	20836	4667
817	20860	4641
818	20880	4614
819	20901	4588
820	20924	4562
821	20945	4535
822	20966	4509
823	20988	4482
824	21011	4457
825	21057	4435
826	21079	4409
827	21101	4383
828	21121	4356
829	21141	4330
830	21161	4303
831	21205	4281
832	21281	4266
833	21303	4240
834	21327	4214
835	21348	4187
836	21376	4162
837	21400	4137
838	21421	4110
839	21441	4084
840	21463	4057
841	21486	4031
842	21522	4008
843	21547	3982
844	21568	3956
845	21590	3930
846	21611	3903
847	21633	3877
848	21654	3851
849	21677	3825
850	21712	3801
851	21740	3776
852	21760	3750
853	21781	3723
854	21803	3697
855	21826	3671
856	21847	3645
857	21868	3619
858	21891	3593
859	21911	3567
860	21950	3543
861	21975	3518
862	21999	3492
863	22024	3466
864	22046	3440
865	22071	3415
866	22094	3389
867	22116	3363
868	22137	3337
869	22164	3311
870	22197	3287
871	22221	3261
872	22241	3235
873	22265	3209
874	22286	3183
875	22306	3157
876	22327	3131
877	22351	3105
878	22379	3080
879	22411	3056
880	22432	3030
881	22453	3003
882	22473	2977
883	22496	2952
884	22517	2926
885	22538	2899
886	22560	2874
887	22583	2848
888	22619	2824
889	22642	2798
890	22664	2772
891	22685	2746
892	22712	2721
893	22733	2695
894	22753	2669
895	22776	2643
896	22813	2619
897	22838	2594
898	22859	2568
899	22880	2542
900	22903	2516
901	22925	2490
902	22947	2465
903	22969	2439
904	22991	2413
905	23011	2387
906	23047	2363
907	23074	2337
908	23100	2312
909	23120	2286
910	23146	2261
911	23169	2235
912	23190	2209
913	23222	2185
914	23257	2160
915	23278	2134
916	23301	2109
917	23322	2083
918	23342	2057
919	23364	2031
920	23385	2005
921	23407	1980
922	23433	1954
923	23469	1930
924	23491	1904
925	23512	1878
926	23532	1853
927	23553	1827
928	23575	1801
929	23596	1776
930	23617	1750
931	23645	1725
932	23677	1700
933	23700	1674
934	23720	1649
935	23744	1623
936	23771	1598
937	23792	1572
938	23812	1546
939	23832	1521
940	23866	1496
941	23896	1471
942	23920	1445
943	23941	1420
944	23962	1394
945	23985	1369
946	24005	1343
947	24027	1317
948	24050	1292
949	24077	1267
950	24112	1242
951	24134	1216
952	24156	1191
953	24178	1165
954	24206	1140
955	24228	1115
956	24250	1089
957	24271	1064
958	24307	1039
959	24338	1014
960	24363	988
961	24387	963
962	24407	937
963	24429	912
964	24449	886
965	24470	861
966	24491	835
967	24516	810
968	24551	785
969	24575	760
970	24596	734
971	24617	709
972	24637	683
973	24660	658
974	24681	632
975	24702	607
976	24735	582
977	24765	557
978	24788	531
979	24809	506
980	24830	480
981	24850	455
982	24873	430
983	24895	404
984	24915	379
985	24941	354
986	24982	329
987	25006	303
988	25031	278
989	25055	253
990	25077	227
991	25099	202
992	25120	177
993	25142	151
994	25191	126
995	25215	101
996	25236	75
997	25257	50
998	25278	25
999	25299	0
